ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,T_TL,M_TL,F_TL,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus
Tahtay Adiyabo,ET010101,North Western,ET0101,Tigray,ET01,Ethiopia,ET,107741,54300,53441,14356,15318,16095,9102,3409,9160,7192,5616,5759,4342,4036,3284,2551,1936,5584,7235,7720,8112,4587,1718,4616,3625,2831,2903,2188,2034,1655,1286,975,2814,7121,7598,7983,4515,1691,4543,3567,2786,2857,2154,2002,1629,1265,960,2770
Laelay Adiabo,ET010102,North Western,ET0101,Tigray,ET01,Ethiopia,ET,136058,67212,68846,18129,19343,20325,11495,4306,11567,9083,7093,7273,5483,5097,4148,3221,2444,7052,8956,9556,10040,5678,2127,5714,4487,3504,3593,2709,2518,2049,1591,1207,3484,9174,9788,10284,5816,2179,5853,4596,3589,3680,2774,2579,2099,1630,1237,3568
Zana,ET010103,North Western,ET0101,Tigray,ET01,Ethiopia,ET,15127,7029,8098,2016,2151,2260,1278,479,1286,1010,789,809,610,567,461,358,272,784,937,999,1050,594,222,598,469,366,376,283,263,214,166,126,364,1079,1151,1210,684,256,688,541,422,433,326,303,247,192,145,420
Tahtay Koraro,ET010104,North Western,ET0101,Tigray,ET01,Ethiopia,ET,78165,38774,39391,10415,11113,11677,6604,2474,6645,5218,4075,4178,3150,2928,2383,1851,1404,4051,5167,5513,5792,3276,1227,3296,2588,2021,2073,1563,1452,1182,918,697,2010,5249,5600,5884,3328,1247,3349,2630,2053,2106,1587,1476,1201,933,708,2042
Asgede,ET010105,North Western,ET0101,Tigray,ET01,Ethiopia,ET,62171,31380,30792,8284,8839,9287,5252,1967,5286,4150,3241,3323,2506,2329,1895,1472,1117,3222,4181,4461,4688,2651,993,2668,2095,1636,1677,1265,1175,957,743,564,1626,4103,4378,4600,2601,974,2618,2055,1605,1646,1241,1153,939,729,553,1596
Tselemti,ET010106,North Western,ET0101,Tigray,ET01,Ethiopia,ET,164957,82797,82160,21980,23452,24642,13936,5220,14024,11012,8599,8818,6648,6179,5029,3906,2963,8550,11032,11771,12369,6995,2620,7039,5527,4316,4426,3337,3102,2524,1960,1487,4291,10948,11681,12273,6941,2600,6985,5485,4283,4392,3311,3078,2505,1945,1476,4258
Sheraro town,ET010107,North Western,ET0101,Tigray,ET01,Ethiopia,ET,34471,17235,17236,4593,4901,5149,2912,1091,2931,2301,1797,1843,1389,1291,1051,816,619,1787,2297,2450,2575,1456,545,1465,1151,898,921,695,646,525,408,310,893,2297,2450,2575,1456,545,1465,1151,899,921,695,646,525,408,310,893
Indasilassie town,ET010108,North Western,ET0101,Tigray,ET01,Ethiopia,ET,95491,46169,49322,12724,13576,14265,8067,3022,8118,6374,4978,5104,3848,3577,2911,2261,1715,4949,6152,6564,6897,3901,1461,3925,3082,2407,2468,1861,1729,1407,1093,829,2393,6572,7012,7368,4167,1561,4193,3292,2571,2636,1988,1848,1504,1168,886,2556
Selekleka,ET010109,North Western,ET0101,Tigray,ET01,Ethiopia,ET,14679,6940,7739,1956,2087,2193,1240,465,1248,980,765,785,592,550,447,348,264,761,925,987,1037,586,220,590,463,362,371,280,260,212,164,125,360,1031,1100,1156,654,245,658,517,403,414,312,290,236,183,139,401
Seyemti Adyabo,ET010110,North Western,ET0101,Tigray,ET01,Ethiopia,ET,52228,25792,26436,6959,7425,7802,4412,1653,4440,3486,2723,2792,2105,1956,1592,1237,938,2707,3437,3667,3853,2179,816,2193,1722,1345,1379,1039,966,786,611,463,1337,3523,3758,3949,2233,837,2248,1765,1378,1413,1065,990,806,626,475,1370
